x,y,height,momentum_x
0.005,0.005,7.3076,20.9991
0.015,0.005,7.30506,21.0133
0.025,0.005,7.30261,21.027
0.035,0.005,7.30027,21.0401
0.045,0.005,7.29802,21.0526
0.055,0.005,7.29587,21.0646
0.065,0.005,7.29383,21.076
0.075,0.005,7.29188,21.0868
0.085,0.005,7.29003,21.0971
0.095,0.005,7.28827,21.1069
0.105,0.005,7.28661,21.1161
0.115,0.005,7.28505,21.1248
0.125,0.005,7.28358,21.1329
0.135,0.005,7.2822,21.1406
0.145,0.005,7.28091,21.1477
0.155,0.005,7.27971,21.1544
0.165,0.005,7.27858,21.1606
0.175,0.005,7.27754,21.1664
0.185,0.005,7.27658,21.1718
0.195,0.005,7.27569,21.1767
0.205,0.005,7.27488,21.1812
0.215,0.005,7.27413,21.1854
0.225,0.005,7.27344,21.1891
0.235,0.005,7.27282,21.1926
0.245,0.005,7.27226,21.1957
0.255,0.005,7.27175,21.1985
0.265,0.005,7.27129,21.2011
0.275,0.005,7.27087,21.2034
0.285,0.005,7.2705,21.2054
0.295,0.005,7.27018,21.2072
0.305,0.005,7.26989,21.2088
0.315,0.005,7.26963,21.2102
0.325,0.005,7.26941,21.2115
0.335,0.005,7.26921,21.2126
0.345,0.005,7.26904,21.2135
0.355,0.005,7.2689,21.2143
0.365,0.005,7.26877,21.215
0.375,0.005,7.26867,21.2156
0.385,0.005,7.26858,21.2161
0.395,0.005,7.2685,21.2165
0.405,0.005,7.26844,21.2169
0.415,0.005,7.26839,21.2171
0.425,0.005,7.26835,21.2174
0.435,0.005,7.26832,21.2175
0.445,0.005,7.2683,21.2177
0.455,0.005,7.26828,21.2178
0.465,0.005,7.26827,21.2179
0.475,0.005,7.26826,21.2179
0.485,0.005,7.26825,21.2179
0.495,0.005,7.26825,21.2179
0.505,0.005,7.26826,21.2179
0.515,0.005,7.26826,21.2179
0.525,0.005,7.26826,21.2179
0.535,0.005,7.26827,21.2179
0.545,0.005,7.26828,21.2178
0.555,0.005,7.26828,21.2178
0.565,0.005,7.26829,21.2178
0.575,0.005,7.2683,21.2177
0.585,0.005,7.26831,21.2177
0.595,0.005,7.26831,21.2177
0.605,0.005,7.26832,21.2176
0.615,0.005,7.26833,21.2176
0.625,0.005,7.26834,21.2175
0.635,0.005,7.26834,21.2175
0.645,0.005,7.26835,21.2175
0.655,0.005,7.26836,21.2174
0.665,0.005,7.26837,21.2174
0.675,0.005,7.26837,21.2174
0.685,0.005,7.26838,21.2173
0.695,0.005,7.26838,21.2173
0.705,0.005,7.26839,21.2173
0.715,0.005,7.26839,21.2173
0.725,0.005,7.2684,21.2173
0.735,0.005,7.2684,21.2172
0.745,0.005,7.26841,21.2172
0.755,0.005,7.26841,21.2172
0.765,0.005,7.26841,21.2172
0.775,0.005,7.26842,21.2172
0.785,0.005,7.26842,21.2171
0.795,0.005,7.26843,21.2171
0.805,0.005,7.26843,21.2171
0.815,0.005,7.26844,21.2171
0.825,0.005,7.26844,21.2171
0.835,0.005,7.26844,21.2171
0.845,0.005,7.26845,21.217
0.855,0.005,7.26845,21.217
0.865,0.005,7.26846,21.217
0.875,0.005,7.26846,21.217
0.885,0.005,7.26847,21.217
0.895,0.005,7.26847,21.217
0.905,0.005,7.26847,21.2169
0.915,0.005,7.26848,21.2169
0.925,0.005,7.26848,21.2169
0.935,0.005,7.26849,21.2169
0.945,0.005,7.26849,21.2169
0.955,0.005,7.2685,21.2168
0.965,0.005,7.2685,21.2168
0.975,0.005,7.26851,21.2168
0.985,0.005,7.26851,21.2168
0.995,0.005,7.26852,21.2168
1.005,0.005,7.26852,21.2168
1.015,0.005,7.26852,21.2167
1.025,0.005,7.26853,21.2167
1.035,0.005,7.26853,21.2167
1.045,0.005,7.26854,21.2167
1.055,0.005,7.26854,21.2167
1.065,0.005,7.26855,21.2167
1.075,0.005,7.26855,21.2166
1.085,0.005,7.26856,21.2166
1.095,0.005,7.26856,21.2166
1.105,0.005,7.26856,21.2166
1.115,0.005,7.26857,21.2166
1.125,0.005,7.26857,21.2166
1.135,0.005,7.26857,21.2166
1.145,0.005,7.26857,21.2166
1.155,0.005,7.26857,21.2166
1.165,0.005,7.26857,21.2166
1.175,0.005,7.26857,21.2166
1.185,0.005,7.26857,21.2166
1.195,0.005,7.26857,21.2166
1.205,0.005,7.26858,21.2166
1.215,0.005,7.26858,21.2166
1.225,0.005,7.26858,21.2166
1.235,0.005,7.26858,21.2166
1.245,0.005,7.26858,21.2166
1.255,0.005,7.26858,21.2166
1.265,0.005,7.26858,21.2166
1.275,0.005,7.26858,21.2166
1.285,0.005,7.26858,21.2166
1.295,0.005,7.26858,21.2166
