x,y,height,momentum_x
0.005,0.005,8.71417,11.4727
0.015,0.005,8.70453,11.549
0.025,0.005,8.6949,11.6252
0.035,0.005,8.68526,11.7012
0.045,0.005,8.67563,11.777
0.055,0.005,8.66601,11.8527
0.065,0.005,8.65639,11.9281
0.075,0.005,8.64677,12.0034
0.085,0.005,8.63716,12.0785
0.095,0.005,8.62755,12.1534
0.105,0.005,8.61795,12.2281
0.115,0.005,8.60835,12.3027
0.125,0.005,8.59875,12.3771
0.135,0.005,8.58916,12.4513
0.145,0.005,8.57957,12.5253
0.155,0.005,8.56999,12.5991
0.165,0.005,8.56042,12.6727
0.175,0.005,8.55084,12.7462
0.185,0.005,8.54128,12.8195
0.195,0.005,8.53171,12.8926
0.205,0.005,8.52216,12.9655
0.215,0.005,8.5126,13.0382
0.225,0.005,8.50305,13.1108
0.235,0.005,8.49351,13.1831
0.245,0.005,8.48397,13.2553
0.255,0.005,8.47444,13.3273
0.265,0.005,8.46491,13.3991
0.275,0.005,8.45539,13.4707
0.285,0.005,8.44587,13.5421
0.295,0.005,8.43636,13.6133
0.305,0.005,8.42686,13.6844
0.315,0.005,8.41736,13.7552
0.325,0.005,8.40786,13.8259
0.335,0.005,8.39838,13.8964
0.345,0.005,8.38889,13.9667
0.355,0.005,8.37942,14.0368
0.365,0.005,8.36995,14.1067
0.375,0.005,8.36048,14.1764
0.385,0.005,8.35102,14.2459
0.395,0.005,8.34157,14.3153
0.405,0.005,8.33213,14.3844
0.415,0.005,8.32269,14.4533
0.425,0.005,8.31326,14.5221
0.435,0.005,8.30383,14.5907
0.445,0.005,8.29441,14.659
0.455,0.005,8.285,14.7272
0.465,0.005,8.2756,14.7952
0.475,0.005,8.2662,14.863
0.485,0.005,8.25681,14.9306
0.495,0.005,8.24742,14.998
0.505,0.005,8.23804,15.0652
0.515,0.005,8.22868,15.1322
0.525,0.005,8.21931,15.199
0.535,0.005,8.20996,15.2656
0.545,0.005,8.20061,15.332
0.555,0.005,8.19127,15.3983
0.565,0.005,8.18194,15.4643
0.575,0.005,8.17261,15.5301
0.585,0.005,8.1633,15.5957
0.595,0.005,8.15399,15.6612
0.605,0.005,8.14469,15.7264
0.615,0.005,8.1354,15.7914
0.625,0.005,8.12611,15.8563
0.635,0.005,8.11684,15.9209
0.645,0.005,8.10757,15.9853
0.655,0.005,8.09831,16.0495
0.665,0.005,8.08907,16.1135
0.675,0.005,8.07983,16.1773
0.685,0.005,8.0706,16.2409
0.695,0.005,8.06138,16.3043
0.705,0.005,8.05217,16.3675
0.715,0.005,8.04297,16.4305
0.725,0.005,8.03378,16.4933
0.735,0.005,8.0246,16.5558
0.745,0.005,8.01543,16.6182
0.755,0.005,8.00627,16.6803
0.765,0.005,7.99712,16.7422
0.775,0.005,7.98798,16.804
0.785,0.005,7.97885,16.8655
0.795,0.005,7.96974,16.9267
0.805,0.005,7.96063,16.9878
0.815,0.005,7.95154,17.0487
0.825,0.005,7.94246,17.1093
0.835,0.005,7.93339,17.1698
0.845,0.005,7.92434,17.23
0.855,0.005,7.91529,17.29
0.865,0.005,7.90626,17.3497
0.875,0.005,7.89724,17.4093
0.885,0.005,7.88824,17.4686
0.895,0.005,7.87925,17.5277
0.905,0.005,7.87028,17.5865
0.915,0.005,7.86132,17.6451
0.925,0.005,7.85237,17.7035
0.935,0.005,7.84344,17.7617
0.945,0.005,7.83453,17.8196
0.955,0.005,7.82563,17.8773
0.965,0.005,7.81675,17.9347
0.975,0.005,7.80788,17.992
0.985,0.005,7.79903,18.0489
0.995,0.005,7.7902,18.1056
1.005,0.005,7.78139,18.1621
1.015,0.005,7.7726,18.2183
1.025,0.005,7.76383,18.2742
1.035,0.005,7.75508,18.3299
1.045,0.005,7.74635,18.3854
1.055,0.005,7.73764,18.4405
1.065,0.005,7.72895,18.4954
1.075,0.005,7.72029,18.5501
1.085,0.005,7.71165,18.6044
1.095,0.005,7.70303,18.6585
1.105,0.005,7.69444,18.7123
1.115,0.005,7.68588,18.7658
1.125,0.005,7.67734,18.819
1.135,0.005,7.66883,18.8719
1.145,0.005,7.66035,18.9245
1.155,0.005,7.6519,18.9768
1.165,0.005,7.64348,19.0288
1.175,0.005,7.63509,19.0805
1.185,0.005,7.62673,19.1319
1.195,0.005,7.61841,19.1829
1.205,0.005,7.61013,19.2336
1.215,0.005,7.60188,19.2839
1.225,0.005,7.59368,19.3339
1.235,0.005,7.58551,19.3835
1.245,0.005,7.57738,19.4328
1.255,0.005,7.5693,19.4817
1.265,0.005,7.56126,19.5302
1.275,0.005,7.55327,19.5783
1.285,0.005,7.54533,19.626
1.295,0.005,7.53745,19.6732
1.305,0.005,7.52961,19.7201
1.315,0.005,7.52183,19.7665
1.325,0.005,7.51411,19.8125
1.335,0.005,7.50644,19.858
1.345,0.005,7.49885,19.9031
1.355,0.005,7.49131,19.9476
1.365,0.005,7.48385,19.9917
1.375,0.005,7.47645,20.0352
1.385,0.005,7.46913,20.0782
1.395,0.005,7.46189,20.1207
1.405,0.005,7.45473,20.1626
1.415,0.005,7.44766,20.2039
1.425,0.005,7.44067,20.2447
1.435,0.005,7.43377,20.2848
1.445,0.005,7.42697,20.3242
1.455,0.005,7.42027,20.363
1.465,0.005,7.41367,20.4012
1.475,0.005,7.40718,20.4386
1.485,0.005,7.40081,20.4753
1.495,0.005,7.39454,20.5113
1.505,0.005,7.3884,20.5465
1.515,0.005,7.38239,20.581
1.525,0.005,7.3765,20.6146
1.535,0.005,7.37075,20.6474
1.545,0.005,7.36514,20.6794
1.555,0.005,7.35967,20.7105
1.565,0.005,7.35435,20.7407
1.575,0.005,7.34918,20.77
1.585,0.005,7.34416,20.7984
1.595,0.005,7.33931,20.8258
1.605,0.005,7.33462,20.8523
1.615,0.005,7.33009,20.8778
1.625,0.005,7.32574,20.9023
1.635,0.005,7.32156,20.9258
1.645,0.005,7.31755,20.9483
1.655,0.005,7.31372,20.9697
1.665,0.005,7.31007,20.9902
1.675,0.005,7.3066,21.0096
1.685,0.005,7.30331,21.028
1.695,0.005,7.3002,21.0453
1.705,0.005,7.29727,21.0617
1.715,0.005,7.29452,21.077
1.725,0.005,7.29194,21.0913
1.735,0.005,7.28953,21.1047
1.745,0.005,7.2873,21.1171
1.755,0.005,7.28523,21.1286
1.765,0.005,7.28332,21.1392
1.775,0.005,7.28157,21.1489
1.785,0.005,7.27997,21.1578
1.795,0.005,7.27851,21.1659
1.805,0.005,7.27718,21.1732
1.815,0.005,7.27599,21.1799
1.825,0.005,7.27492,21.1858
1.835,0.005,7.27396,21.1911
1.845,0.005,7.27311,21.1958
1.855,0.005,7.27235,21.1999
1.865,0.005,7.27169,21.2036
1.875,0.005,7.27112,21.2068
1.885,0.005,7.27062,21.2095
1.895,0.005,7.27019,21.2119
1.905,0.005,7.26982,21.2139
1.915,0.005,7.26951,21.2156
1.925,0.005,7.26925,21.2171
1.935,0.005,7.26903,21.2183
1.945,0.005,7.26885,21.2193
1.955,0.005,7.26871,21.2201
1.965,0.005,7.26859,21.2207
1.975,0.005,7.2685,21.2212
1.985,0.005,7.26843,21.2216
1.995,0.005,7.26838,21.2219
2.005,0.005,7.26834,21.222
2.015,0.005,7.26832,21.2222
2.025,0.005,7.26831,21.2222
2.035,0.005,7.2683,21.2223
2.045,0.005,7.2683,21.2222
2.055,0.005,7.26831,21.2222
2.065,0.005,7.26832,21.2221
2.075,0.005,7.26834,21.2221
2.085,0.005,7.26836,21.222
2.095,0.005,7.26837,21.2218
2.105,0.005,7.26839,21.2217
2.115,0.005,7.26841,21.2216
2.125,0.005,7.26843,21.2215
2.135,0.005,7.26845,21.2214
2.145,0.005,7.26847,21.2213
2.155,0.005,7.26849,21.2212
2.165,0.005,7.2685,21.2211
2.175,0.005,7.26852,21.221
2.185,0.005,7.26854,21.2209
2.195,0.005,7.26855,21.2208
2.205,0.005,7.26857,21.2207
2.215,0.005,7.26858,21.2206
2.225,0.005,7.26859,21.2205
2.235,0.005,7.26861,21.2205
2.245,0.005,7.26862,21.2204
2.255,0.005,7.26863,21.2203
2.265,0.005,7.26864,21.2202
2.275,0.005,7.26865,21.2202
2.285,0.005,7.26866,21.2201
2.295,0.005,7.26867,21.22
2.305,0.005,7.26868,21.22
2.315,0.005,7.26869,21.2199
2.325,0.005,7.2687,21.2199
2.335,0.005,7.26871,21.2198
2.345,0.005,7.26872,21.2198
2.355,0.005,7.26873,21.2197
2.365,0.005,7.26874,21.2197
2.375,0.005,7.26874,21.2196
2.385,0.005,7.26875,21.2196
2.395,0.005,7.26876,21.2195
